사업장명,소재지지번주소,소재지도로명주소,위도,경도
스포츠클럽 필립 정자플러스점,경기도 성남시 분당구 정자동 7번지 두산위브파빌리온 A동 211~217호,"경기도 성남시 분당구 성남대로 393 (정자동,두산위브파빌리온 A동 211~217호)",37.3715897,127.107163
스포츠클럽 필립,경기도 성남시 분당구 정자동 117-1번지 3층 ,"경기도 성남시 분당구 내정로 58 (정자동,3층)",37.36536351,127.1152288
노상혁 FTC,경기도 성남시 분당구 정자동 159-4번지 젤존타워2 604호,"경기도 성남시 분당구 정자일로 162, 젤존타워2 604호 (정자동)",37.3645356,127.1062389
REX-K,경기도 성남시 분당구 서현동 333-1번지 ,"경기도 성남시 분당구 서현로 373, 2층 (서현동)",37.37686017,127.1393976
짐나지움,경기도 성남시 분당구 금곡동 166번지 이코노샤르망 715.716호,"경기도 성남시 분당구 돌마로 47, 715,716호 (금곡동, 이코노샤르망)",37.3503166,127.1073254
VDR스포츠,경기도 성남시 분당구 금곡동 192번지 분당두산위브 108동 지하1층 일부,"경기도 성남시 분당구 정자일로 55  (금곡동,분당두산위브 108동 지하1층 일부)",37.3552561,127.1051539
스윗바디,경기도 성남시 분당구 백현동 560-2번지 1층 ,"경기도 성남시 분당구 판교역로2번길 36 (백현동,1층)",37.3863621,127.1118017
버클짐,경기도 성남시 분당구 삼평동 660번지 골드타워 5층,"경기도 성남시 분당구 판교역로192번길 14-2, 5층 전체호 (삼평동, 골드타워)",37.3974443,127.1119872
이젠 스포츠,경기도 성남시 분당구 구미동 243 무지개마을제일아파트 제분산상가동 ,"경기도 성남시 분당구 구미로144번길 7, 제분산상가동 107-111호 (구미동, 무지개마을제일아파트)",-,-
exHolic 미금점,경기도 성남시 분당구 금곡동 151번지 골드프라자 601호,"경기도 성남시 분당구 돌마로 87, 601호 (금곡동,골드프라자)",37.3503127,127.1116594
YMCA주공스포츠센타헬스장,경기도 성남시 분당구 구미동 181 ,"경기도 성남시 분당구 탄천상로 95, 별관 지하1층 (구미동)",37.34037182,127.1108405
아트만 휘트니스클럽,경기도 성남시 분당구 서현동 306-3번지 노트르프라자 5층 ,"경기도 성남시 분당구 불정로376번길 7 (서현동,노트르프라자 5층)",37.37372517,127.1370408
핏타임 휘트니스,경기도 성남시 분당구 구미동 203-1번지 관보쇼핑 지하1층 1-15호,"경기도 성남시 분당구 구미로 60, 지하1층 1-15호 (구미동, 관보쇼핑)",37.3377308,127.1156359
exHolic 이매점,경기도 성남시 분당구 이매동 115-2번지 3층,"경기도 성남시 분당구 이매로 45, 3층 (이매동)",37.394944,127.1258175
라온제나 클리니컬 운동센터,경기도 성남시 분당구 금곡동 166 이코노샤르망 501호,"경기도 성남시 분당구 돌마로 47, 501호 (금곡동, 이코노샤르망)",37.35037413,127.1071871
K트레이닝스쿨,경기도 성남시 분당구 서현동 260-5번지,"경기도 성남시 분당구 황새울로335번길 6, 지하층 (서현동, 노블레스호텔)",37.3863881,127.1222127
(주)제이제이케이컴퍼니(JJK Company),경기도 성남시 분당구 야탑동 502 ,"경기도 성남시 분당구 야탑로 64, 지층 (야탑동, 야탑시장)",37.40948438,127.125964
(주)팀에스,경기도 성남시 분당구 서현동 340-5 ,경기도 성남시 분당구 불정로420번길 19 (서현동),37.37547917,127.1417422
스마일짐,경기도 성남시 분당구 서현동 312-3번지 범한프라자 5층 502호 일부 ,"경기도 성남시 분당구 불정로376번길 37 (서현동,범한프라자 5층 502호 일부)",37.371593,127.1393493
바디 스타일리스트,경기도 성남시 분당구 정자동 85-11번지 1층,"경기도 성남시 분당구 느티로51번길 4-13  (정자동,1층)",37.3690091,127.1112686
커브스수내클럽,경기도 성남시 분당구 수내동 29번지 양지마을 주상복합상가 603동 208호 ,"경기도 성남시 분당구 내정로173번길 11 (수내동,양지마을 주상복합상가 603동 208호)",37.3747657,127.1182529
베러덴 휘트니스,경기도 성남시 분당구 야탑동 355-1 401호,"경기도 성남시 분당구 야탑로75번길 15, 401호 (야탑동)",37.41117268,127.1268257
베네핏,경기도 성남시 분당구 수내동 20-2 초림프라자 ,"경기도 성남시 분당구 백현로101번길 17, 초림프라자 509,510호 (수내동)",37.37747822,127.1125125
배드트레이너,경기도 성남시 분당구 정자동 174-1번지 상가동 지05호,"경기도 성남시 분당구 정자일로 121, 상가동 지05호 (정자동, 더샵스타파크)",37.3608964,127.1051051
MAN OF ACTION,경기도 성남시 분당구 백현동 552번지 로제비앙스퀘어 603호,"경기도 성남시 분당구 동판교로 55, 603호 (백현동, 로제비앙스퀘어)",37.3881705,127.1146274
리조트휘트니스 판교점,경기도 성남시 분당구 운중동 940번지 판교메디칼타워 ,"경기도 성남시 분당구 운중로 142, 판교메디칼타워 6,7층 (운중동)",37.39122627,127.0788331
身휘트니스,경기도 성남시 분당구 야탑동 367-1번지 분당BYC빌딩 지하1층 일부,"경기도 성남시 분당구 성남대로 912, 지하1층 (야탑동, 분당BYC빌딩)",37.4108883,127.129187
