사업장명,소재지지번주소,소재지도로명주소,위도,경도
피티세븐 피트니스 2동,경기도 성남시 분당구 정자동 35-2 ,"경기도 성남시 분당구 황새울로132번길 24, 1층 및 지층 (정자동)",37.37324047,127.1121278
피티세븐 피트니스 1동,경기도 성남시 분당구 정자동 35-3 ,"경기도 성남시 분당구 황새울로132번길 22-1, 1층 및 지층 (정자동)",37.37315898,127.1120152
피티세븐 피트니스 3동,경기도 성남시 분당구 정자동 34-8 ,"경기도 성남시 분당구 내정로119번길 38, 1층 및 지층 (정자동)",37.37334103,127.1125564
올뉴바디,경기도 성남시 분당구 야탑동 272-2 선경진 ,"경기도 성남시 분당구 벌말로 44, 선경진 401호 (야탑동)",37.41188549,127.1386648
피티 원,경기도 성남시 분당구 구미동 242 무지개마을라이프아파트 ,"경기도 성남시 분당구 구미로 143, 상가동 107호 (구미동, 무지개마을라이프아파트)",37.3425214,127.1233046
라인엑스,경기도 성남시 분당구 야탑동 532-3 한화빌딩 ,"경기도 성남시 분당구 판교로 471, 한화빌딩 4층 (야탑동)",37.40572646,127.12622
Mr.k-GYM,경기도 성남시 분당구 수내동 58-2번지 상지상가빌딩 ,"경기도 성남시 분당구 내정로 172, 상지상가빌딩 비138,비140,비143,비144,비145,비146호 (수내동)",37.373614,127.119912
머슬짐 PT,경기도 성남시 분당구 정자동 18-4 ,"경기도 성남시 분당구 성남대로343번길 10-6, 4층 (정자동)",37.36718455,127.1070769
홈리짐,경기도 성남시 분당구 금곡동 159 한국프라자 ,"경기도 성남시 분당구 성남대로 170, 한국프라자 403,404호 (금곡동)",37.35117507,127.1095202
체온 PT스튜디오,경기도 성남시 분당구 서현동 245-1 분당오벨리스크 ,"경기도 성남시 분당구 서현로 216, 분당오벨리스크 202호 (서현동)",37.38620268,127.1262378
헤라짐(HERA GYM),경기도 성남시 분당구 정자동 155-2 월드비터 ,"경기도 성남시 분당구 정자로 13, 월드비터 702호 (정자동)",37.36372071,127.1063157
스포츠클럽 필립 분당수내점,경기도 성남시 분당구 수내동 33-2 궁전프라자 5층 ,"경기도 성남시 분당구 내정로173번길 49 (수내동,궁전프라자 5층)",37.37737191,127.1158451
