사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
이마트24 분당오리점,경기도 성남시 분당구 구미동 182번지 분당대맥주차빌딩 1층 114호 일부,"경기도 성남시 분당구 구미로9번길 25 (구미동, 분당대맥주차빌딩 1층 114호 일부)",37.340313,127.1098845,편의점
이마트24 분당정자본점,경기도 성남시 분당구 정자동 68-9 1층 일부 ,"경기도 성남시 분당구 내정로107번길 16, 1(일부)층 (정자동)",37.3698541093,127.1129922256,편의점
이마트24 서현도서관점,경기도 성남시 분당구 서현동 99-4 1층 일부 ,"경기도 성남시 분당구 새마을로 12, 1(일부)층 (서현동)",37.3834265819,127.1320351204,편의점
이마트24 서현서머셋호텔점,경기도 성남시 분당구 서현동 261-1 서머셋센트럴 분당 1층 일부 ,"경기도 성남시 분당구 황새울로311번길 36, 서머셋센트럴 분당 1층 일부호 (서현동)",37.386538287,127.1212318964,편의점
이마트24 판교SG,경기도 성남시 분당구 삼평동 655 SG타워 1층 102-2호 일부 ,"경기도 성남시 분당구 대왕판교로606번길 47 (삼평동, SG타워 1층 102-2호 일부)",37.3969390575,127.1125366599,편의점
이마트24 판교남서울점,경기도 성남시 분당구 백현동 485-1 1층 일부 ,"경기도 성남시 분당구 판교백현로 25, 1층 일부호 (백현동)",37.3819671407,127.0963592511,편의점
이마트24 한솔마을점,경기도 성남시 분당구 정자동 111 한솔마을 분산상가동 101일부호,"경기도 성남시 분당구 정자로 143, 분산상가동 1층 101호 일부호 (정자동, 한솔마을)",37.3655397862,127.1195644418,편의점
이마트24R 야탑매화점,경기도 성남시 분당구 야탑동 273-2 1층 일부 ,"경기도 성남시 분당구 벌말로40번길 4-1, 1층 일부호 (야탑동)",37.4112186166,127.138713159,편의점
이마트24R판교알파돔 2호점,경기도 성남시 분당구 백현동 537 알파돔타워 1층 일부 ,"경기도 성남시 분당구 판교역로 152, 알파돔타워 1(일부)층 (백현동)",37.3942187192,127.1103476504,편의점
이마트24분당불곡로점,경기도 성남시 분당구 정자동 226-3 1층 일부 ,"경기도 성남시 분당구 불곡남로 8 (정자동, 1층 일부)",37.3586004018,127.1227725691,편의점
쥐에스25(GS25) 분당하얀점,경기도 성남시 분당구 구미동 110-1번지 하얀마을 분산상가 1층 101호 일부,"경기도 성남시 분당구 미금일로 19 (구미동, 하얀마을 분산상가 1층 101호 일부)",37.3462256,127.1174882,편의점
지에스(GS)25 미금타운,경기도 성남시 분당구 구미동 34-1 ,"경기도 성남시 분당구 미금일로74번길 29-6, 1(일부)층 (구미동)",37.3485664535,127.1111595262,편의점
지에스(GS)25 분당라이프,경기도 성남시 분당구 정자동 136-10 1층 일부 ,"경기도 성남시 분당구 내정로17번길 13, 1(일부)층 (정자동)",37.3615529293,127.1131590773,편의점
지에스(GS)25 분당불곡,경기도 성남시 분당구 정자동 245-4번지 ,"경기도 성남시 분당구 불곡북로 23, 1층 일부호 (정자동)",37.3593633054,127.1256014422,편의점
지에스(GS)25 분당신영점,경기도 성남시 분당구 구미동 18번지 시그마2오피스텔 ,"경기도 성남시 분당구 탄천상로 164, 시그마2오피스텔 1층 F-8(일부)호 (구미동)",37.3440382,127.1053869,편의점
지에스(GS)25 분당아크로점,경기도 성남시 분당구 정자동 168-1번지 대림아크로텔 1층 115디호 일부 ,"경기도 성남시 분당구 성남대로 295, 대림아크로텔 1층 115디(일부)호 (정자동)",37.3624261352,127.1074889985,편의점
지에스(GS)25 분당이매중앙,경기도 성남시 분당구 이매동 361-3 1층 일부호,"경기도 성남시 분당구 이매로124번길 3, 1층 일부호 (이매동)",37.3914506996,127.1326285402,편의점
지에스(GS)25 분당이매촌점,경기도 성남시 분당구 이매동 105-6 대한빌딩 1층 일부 ,"경기도 성남시 분당구 성남대로779번길 14, 대한빌딩 1(일부)층 (이매동)",37.399473072,127.1269063403,편의점
