사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
두산파빌리온세탁소,경기도 성남시 분당구 정자동 7번지 두산파빌리온 B동 104호 ,"경기도 성남시 분당구 성남대로 393 (정자동, 두산파빌리온 B동 104호)",37.3717789,127.1071294,일반세탁업
라이프세탁,경기도 성남시 분당구 정자동 124번지 근린상가동지하1층10.11.12.호라이프상가 ,"경기도 성남시 분당구 정자로68번길 16 (정자동, 근린상가동지하1층10.11.12.호라이프상가)",37.3624499,127.1110447,일반세탁업
로얄세탁소,경기도 성남시 분당구 정자동 28-1번지 로얄팰리스A동 1층 109호 ,"경기도 성남시 분당구 성남대로 449 (정자동,로얄팰리스A동 1층 109호)",37.3746952,127.1104301,일반세탁업
르네상스,경기도 성남시 분당구 야탑동 342-2번지 르네상스분당오피스텔 111호 ,"경기도 성남시 분당구 장미로48번길 10 (야탑동,르네상스분당오피스텔 111호)",37.4130005,127.1254629,일반세탁업
매화세탁소,경기도 성남시 분당구 야탑동 211번지 매화마을4단지종합상가207호 ,"경기도 성남시 분당구 장미로 193 (야탑동,매화마을4단지종합상가207호)",37.4133611,127.1416277,일반세탁업
맵시크린세탁,경기도 성남시 분당구 분당동 154-1 일부 ,"경기도 성남시 분당구 분당로327번길 16-1 (분당동,일부)",37.3677591511,127.1433374289,일반세탁업
명품 세탁 파크빌,경기도 성남시 분당구 야탑동 173번지 목련마을대원빌라상가동 103호 ,"경기도 성남시 분당구 야탑로245번길 11 (야탑동,목련마을대원빌라상가동 103호)",37.4081127,127.1454019,일반세탁업
명품세탁,경기도 성남시 분당구 정자동 174-1번지 분당더샾스타파크 상가동 씨-19호 ,"경기도 성남시 분당구 정자일로 121 (정자동, 분당더샾스타파크 상가동 씨-19호)",37.3608964,127.1051051,일반세탁업
명품세탁소,경기도 성남시 분당구 수내동 74번지 푸른마을상가4-4동101호 ,"경기도 성남시 분당구 수내로192번길 25 (수내동, 푸른마을상가4-4동101호)",37.3690596,127.1242399,일반세탁업
명품세탁힐스,경기도 성남시 분당구 삼평동 705번지 봇들마을 A상가동 103호 ,"경기도 성남시 분당구 동판교로 275 (삼평동, 봇들마을 A상가동 103호)",37.4059483,127.1136598,일반세탁업
명품호텔세탁,경기도 성남시 분당구 운중동 979-2번지 ,"경기도 성남시 분당구 운중로113번길 4-9, 1층 (운중동)",37.3925883936,127.076385785,일반세탁업
모양세탁소,경기도 성남시 분당구 분당동 104-8번지 ,경기도 성남시 분당구 서현로439번길 17 (분당동),37.3751984,127.1457686,일반세탁업
무지개세탁소,경기도 성남시 분당구 구미동 201번지 신안건영상가하10호 ,"경기도 성남시 분당구 미금로 63 (구미동,신안건영상가하10호)",37.339011,127.1148028,일반세탁업
미미세탁소,경기도 성남시 분당구 정자동 168-1번지 대림아크로텔 125호 ,"경기도 성남시 분당구 성남대로 295 (정자동, 대림아크로텔 125호)",37.3624261,127.1074889,일반세탁업
미스터크리닝,경기도 성남시 분당구 야탑동 334번지 장미마을분산상가3104 ,"경기도 성남시 분당구 장미로 101 (야탑동,장미마을분산상가3104)",37.4155006,127.1299628,일반세탁업
박주노 명품세탁,경기도 성남시 분당구 수내동 52번지 파크타운분산상가 ,"경기도 성남시 분당구 수내로 148 (수내동,파크타운분산상가)",37.3719525,127.1236011,일반세탁업
