사업장명,소재지지번주소,소재지도로명주소,위도,경도,업태구분명정보
맥도날드,경기도 성남시 분당구 서현동 305-2번지 서현빌딩 1층-2층,"경기도 성남시 분당구 불정로 379 (서현동,서현빌딩 1층-2층)",37.3742814,127.1363511,패스트푸드
맥도날드 서판교DT점,"경기도 성남시 분당구 운중동 1017번지 1층, 2층","경기도 성남시 분당구 운중로 190 (운중동, 1층, 2층)",37.3905561,127.0839383,패스트푸드
맥도날드 야탑킴스점,경기도 성남시 분당구 야탑동 357-1번지 뉴코아야탑킴스 1층 일부,"경기도 성남시 분당구 야탑로81번길 11 (야탑동, 뉴코아야탑킴스 1층 일부)",37.4103317,127.1272432,패스트푸드
맥도날드 오리역점,경기도 성남시 분당구 구미동 157번지 1층 일부,"경기도 성남시 분당구 성남대로 45 (구미동, 1층 일부)",37.339954,127.1083267,패스트푸드
맥도날드동판교점,"경기도 성남시 분당구 삼평동 741번지 푸르지오월드마크 1-17,18,19,30,31호   2- 9,10호 ","경기도 성남시 분당구 대왕판교로606번길 58 (삼평동, 푸르지오월드마크 1-17,18,19,30,31호   2-9,10호)",37.3954464194,127.1136515168,패스트푸드
한국맥도날드유한회사 수내역점,"경기도 성남시 분당구 수내동 18-1번지 씨앤씨빌딩 1층 일부, 지하1층 일부 ","경기도 성남시 분당구 백현로101번길 29 (수내동, 씨앤씨빌딩 1층 일부, 지하1층 일부)",37.3782204786,127.1134688147,패스트푸드
한국맥도날드유한회사 판교테크노밸리점,"경기도 성남시 분당구 삼평동 680 에이치스퀘어 에스동 1층 110,111호 ","경기도 성남시 분당구 판교역로 231, 에이치스퀘어 에스동 1층 110,111호 (삼평동)",37.4012708935,127.1086502502,패스트푸드
