,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,5,13,15,13,161
Fitness,14,8,6,32,171
MacDonalds,1,0,0,2,7
Convenience,10,12,18,39,193
Elec_Charge,4,5,7,12,70
Clinic_OS,8,3,6,17,80
