,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,6,10,29,29,161
Fitness,13,7,29,24,171
MacDonalds,0,0,1,0,7
Convenience,10,7,29,26,193
Elec_Charge,2,2,17,8,70
Clinic_OS,9,3,15,11,80
