,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,8,11,51,33,161
Fitness,12,13,59,35,171
MacDonalds,1,0,1,3,7
Convenience,9,13,60,49,193
Elec_Charge,5,4,14,21,70
Clinic_OS,5,4,20,14,80
