,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,9,12,51,33,161
Fitness,12,12,58,46,171
MacDonalds,1,0,0,4,7
Convenience,9,14,56,57,193
Elec_Charge,5,3,17,17,70
Clinic_OS,5,6,18,20,80
