,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,10,12,40,33,161
Fitness,15,15,41,39,171
MacDonalds,0,0,1,2,7
Convenience,8,15,39,46,193
Elec_Charge,2,3,18,15,70
Clinic_OS,2,5,22,16,80
