,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,4,6,17,11,161
Fitness,2,14,8,18,171
MacDonalds,0,1,0,2,7
Convenience,4,10,13,28,193
Elec_Charge,0,6,5,14,70
Clinic_OS,3,6,6,10,80
