,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,7,9,14,13,161
Fitness,13,8,5,20,171
MacDonalds,1,0,0,2,7
Convenience,12,7,14,33,193
Elec_Charge,4,3,6,13,70
Clinic_OS,9,1,6,12,80
