,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,0,4,20,14,161
Fitness,0,4,22,13,171
MacDonalds,0,1,0,0,7
Convenience,0,8,16,13,193
Elec_Charge,1,3,3,9,70
Clinic_OS,0,2,17,3,80
