,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,0,2,16,28,161
Fitness,0,5,14,50,171
MacDonalds,0,1,2,1,7
Convenience,1,7,21,48,193
Elec_Charge,4,3,8,15,70
Clinic_OS,2,3,7,21,80
