,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,2,9,49,45,161
Fitness,15,19,37,49,171
MacDonalds,0,0,3,2,7
Convenience,12,17,52,59,193
Elec_Charge,5,1,15,28,70
Clinic_OS,7,3,15,23,80
