,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,4,10,51,38,161
Fitness,8,29,47,32,171
MacDonalds,1,0,2,1,7
Convenience,5,23,57,51,193
Elec_Charge,5,7,11,24,70
Clinic_OS,1,13,16,16,80
