,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,6,10,27,27,161
Fitness,15,4,25,23,171
MacDonalds,0,0,1,0,7
Convenience,11,7,25,25,193
Elec_Charge,2,3,15,5,70
Clinic_OS,9,3,13,9,80
