,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,4,3,33,46,161
Fitness,1,13,44,55,171
MacDonalds,0,1,2,2,7
Convenience,6,12,52,50,193
Elec_Charge,2,3,24,13,70
Clinic_OS,0,5,23,20,80
