,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,4,5,17,9,161
Fitness,0,16,8,17,171
MacDonalds,0,1,0,2,7
Convenience,1,13,12,25,193
Elec_Charge,0,5,6,13,70
Clinic_OS,1,8,6,10,80
