,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,5,12,50,35,161
Fitness,9,28,49,31,171
MacDonalds,1,0,2,1,7
Convenience,5,20,63,48,193
Elec_Charge,6,5,12,23,70
Clinic_OS,2,13,14,15,80
