,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,6,10,54,33,161
Fitness,9,23,56,29,171
MacDonalds,1,0,2,1,7
Convenience,7,17,63,47,193
Elec_Charge,6,5,11,24,70
Clinic_OS,2,12,16,15,80
