,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,5,9,11,19,161
Fitness,5,2,19,17,171
MacDonalds,1,0,0,0,7
Convenience,5,7,14,17,193
Elec_Charge,4,0,7,9,70
Clinic_OS,2,7,11,4,80
