,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,9,8,54,31,161
Fitness,13,14,61,28,171
MacDonalds,1,0,2,1,7
Convenience,9,14,63,45,193
Elec_Charge,7,4,12,21,70
Clinic_OS,5,6,18,15,80
