,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,7,14,36,39,161
Fitness,15,14,36,45,171
MacDonalds,0,0,1,1,7
Convenience,9,14,35,54,193
Elec_Charge,2,3,15,18,70
Clinic_OS,4,3,18,19,80
