,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,10,12,40,25,161
Fitness,13,17,38,33,171
MacDonalds,0,0,1,2,7
Convenience,8,13,39,33,193
Elec_Charge,3,3,16,16,70
Clinic_OS,0,8,23,16,80
