,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,7,8,28,28,161
Fitness,13,5,27,22,171
MacDonalds,0,0,1,0,7
Convenience,10,6,28,25,193
Elec_Charge,2,3,15,7,70
Clinic_OS,11,1,13,11,80
