,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,6,10,29,28,161
Fitness,15,5,29,24,171
MacDonalds,0,0,1,0,7
Convenience,12,5,30,25,193
Elec_Charge,2,3,16,8,70
Clinic_OS,9,3,15,11,80
