,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,5,13,16,12,161
Fitness,14,8,6,34,171
MacDonalds,1,0,0,2,7
Convenience,9,13,18,39,193
Elec_Charge,4,5,6,14,70
Clinic_OS,8,3,5,18,80
