,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,6,9,30,28,161
Fitness,17,2,31,22,171
MacDonalds,0,0,1,0,7
Convenience,10,7,29,25,193
Elec_Charge,2,3,16,8,70
Clinic_OS,10,2,14,12,80
