,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,5,14,16,11,161
Fitness,14,8,10,31,171
MacDonalds,1,0,0,2,7
Convenience,8,14,21,36,193
Elec_Charge,4,5,7,14,70
Clinic_OS,8,3,7,16,80
