,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,5,8,18,12,161
Fitness,13,4,11,27,171
MacDonalds,1,0,1,1,7
Convenience,11,9,20,32,193
Elec_Charge,4,2,10,10,70
Clinic_OS,8,2,7,13,80
