,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,9,10,34,48,161
Fitness,14,17,35,56,171
MacDonalds,0,1,0,3,7
Convenience,5,19,31,66,193
Elec_Charge,1,7,16,14,70
Clinic_OS,5,6,12,24,80
