,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,3,7,48,42,161
Fitness,15,14,38,57,171
MacDonalds,0,0,3,2,7
Convenience,13,14,49,65,193
Elec_Charge,3,3,15,29,70
Clinic_OS,7,3,14,27,80
