,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,10,13,37,28,161
Fitness,16,14,38,32,171
MacDonalds,0,0,1,2,7
Convenience,8,14,40,30,193
Elec_Charge,3,3,17,15,70
Clinic_OS,1,7,23,13,80
