,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,3,5,15,10,161
Fitness,1,6,17,8,171
MacDonalds,0,1,0,0,7
Convenience,2,6,16,10,193
Elec_Charge,1,3,5,9,70
Clinic_OS,1,6,12,3,80
