,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,10,13,47,35,161
Fitness,12,12,58,48,171
MacDonalds,1,0,0,4,7
Convenience,9,14,54,58,193
Elec_Charge,4,4,18,17,70
Clinic_OS,6,5,18,21,80
