,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,7,14,35,39,161
Fitness,13,16,34,46,171
MacDonalds,0,0,1,1,7
Convenience,9,13,34,55,193
Elec_Charge,2,3,14,17,70
Clinic_OS,4,2,19,19,80
