,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,10,11,41,24,161
Fitness,12,18,37,28,171
MacDonalds,0,0,1,2,7
Convenience,8,12,44,26,193
Elec_Charge,3,3,16,16,70
Clinic_OS,0,8,23,11,80
