,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,8,10,41,32,161
Fitness,3,21,43,39,171
MacDonalds,0,1,1,2,7
Convenience,4,13,58,47,193
Elec_Charge,1,4,16,18,70
Clinic_OS,2,6,15,17,80
