,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,10,13,40,28,161
Fitness,12,18,38,34,171
MacDonalds,0,0,1,2,7
Convenience,8,13,40,32,193
Elec_Charge,3,3,17,15,70
Clinic_OS,0,8,23,16,80
