,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,11,11,40,31,161
Fitness,18,10,43,39,171
MacDonalds,0,0,1,2,7
Convenience,9,15,38,42,193
Elec_Charge,2,3,17,16,70
Clinic_OS,2,5,22,15,80
