,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,5,6,43,45,161
Fitness,15,12,40,54,171
MacDonalds,0,0,3,2,7
Convenience,15,10,49,65,193
Elec_Charge,2,4,15,29,70
Clinic_OS,7,3,13,31,80
