,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,10,11,40,26,161
Fitness,12,17,39,30,171
MacDonalds,0,0,1,2,7
Convenience,8,12,41,32,193
Elec_Charge,3,3,16,16,70
Clinic_OS,0,8,23,14,80
