,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,4,9,36,53,161
Fitness,15,10,39,59,171
MacDonalds,0,0,3,2,7
Convenience,12,14,49,64,193
Elec_Charge,1,4,18,26,70
Clinic_OS,7,2,20,25,80
