,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,3,9,28,14,161
Fitness,2,15,28,26,171
MacDonalds,0,1,2,0,7
Convenience,6,13,40,29,193
Elec_Charge,0,6,18,10,70
Clinic_OS,1,9,13,12,80
