,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,1,11,15,44,161
Fitness,6,6,36,46,171
MacDonalds,2,0,1,2,7
Convenience,10,12,43,38,193
Elec_Charge,3,7,15,14,70
Clinic_OS,4,6,13,21,80
