,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,1,11,15,44,161
Fitness,6,7,34,49,171
MacDonalds,1,1,1,2,7
Convenience,8,14,44,39,193
Elec_Charge,4,5,16,14,70
Clinic_OS,4,6,13,21,80
