,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,4,8,39,50,161
Fitness,15,10,41,57,171
MacDonalds,0,0,4,1,7
Convenience,12,13,50,69,193
Elec_Charge,1,4,18,26,70
Clinic_OS,7,3,17,26,80
