,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,2,2,19,28,161
Fitness,5,6,24,49,171
MacDonalds,1,0,2,2,7
Convenience,6,9,33,45,193
Elec_Charge,3,8,9,16,70
Clinic_OS,4,7,8,17,80
