,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,4,4,18,9,161
Fitness,0,15,9,14,171
MacDonalds,0,1,0,2,7
Convenience,1,13,11,24,193
Elec_Charge,0,4,7,13,70
Clinic_OS,1,8,5,11,80
