,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,3,9,20,13,161
Fitness,13,4,17,23,171
MacDonalds,1,0,1,1,7
Convenience,10,10,26,28,193
Elec_Charge,4,3,10,11,70
Clinic_OS,8,2,11,13,80
