,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,2,10,19,22,161
Fitness,1,19,11,24,171
MacDonalds,0,1,0,0,7
Convenience,4,16,9,25,193
Elec_Charge,1,5,8,7,70
Clinic_OS,0,13,7,9,80
