,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,0,13,47,44,161
Fitness,12,22,38,48,171
MacDonalds,0,1,2,2,7
Convenience,8,19,55,58,193
Elec_Charge,5,5,13,26,70
Clinic_OS,4,8,15,20,80
