,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,0,4,18,34,161
Fitness,5,6,17,60,171
MacDonalds,1,0,2,2,7
Convenience,6,9,30,53,193
Elec_Charge,6,5,6,21,70
Clinic_OS,4,7,4,26,80
