,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,9,10,40,26,161
Fitness,11,18,38,26,171
MacDonalds,0,0,1,1,7
Convenience,8,10,40,30,193
Elec_Charge,2,4,14,17,70
Clinic_OS,0,8,23,11,80
