,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,4,4,17,10,161
Fitness,1,13,10,17,171
MacDonalds,0,1,0,2,7
Convenience,1,12,12,26,193
Elec_Charge,0,4,7,14,70
Clinic_OS,1,8,5,11,80
