,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,8,8,54,34,161
Fitness,12,17,57,32,171
MacDonalds,1,0,1,3,7
Convenience,9,14,61,47,193
Elec_Charge,4,6,13,23,70
Clinic_OS,5,8,17,15,80
