,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,4,7,14,19,161
Fitness,4,4,18,21,171
MacDonalds,1,0,0,0,7
Convenience,7,7,12,18,193
Elec_Charge,4,0,7,9,70
Clinic_OS,2,7,11,5,80
