,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,6,10,28,28,161
Fitness,17,2,30,20,171
MacDonalds,0,0,1,0,7
Convenience,11,7,27,24,193
Elec_Charge,2,2,17,6,70
Clinic_OS,10,2,14,11,80
