,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,5,8,42,43,161
Fitness,14,10,44,51,171
MacDonalds,0,0,3,2,7
Convenience,14,8,52,64,193
Elec_Charge,2,3,16,28,70
Clinic_OS,7,2,14,28,80
