,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,8,11,50,33,161
Fitness,12,13,54,44,171
MacDonalds,1,0,0,4,7
Convenience,8,16,54,54,193
Elec_Charge,4,5,14,20,70
Clinic_OS,6,5,18,19,80
