,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,5,7,12,18,161
Fitness,7,0,18,12,171
MacDonalds,1,0,0,0,7
Convenience,5,5,16,15,193
Elec_Charge,3,1,6,8,70
Clinic_OS,7,2,11,3,80
