,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,9,13,35,36,161
Fitness,15,15,41,37,171
MacDonalds,0,0,1,2,7
Convenience,9,13,38,46,193
Elec_Charge,2,3,17,14,70
Clinic_OS,3,4,22,16,80
