,under 500m,500m ~ 1km,1km ~ 2km,2km ~ 3km,3km ~ 5km
Laundry,6,8,27,29,161
Fitness,14,5,30,21,171
MacDonalds,0,0,1,0,7
Convenience,8,9,27,24,193
Elec_Charge,1,4,16,6,70
Clinic_OS,8,4,14,11,80
